iter	Passed	Remaining
0	65	65534
1	66	33038
2	66	22212
3	67	16785
4	67	13527
5	68	11361
6	69	9801
7	69	8633
8	70	7729
9	71	7037
10	71	6439
11	72	5940
12	72	5518
13	73	5155
14	73	4840
15	74	4564
16	74	4322
17	75	4106
18	75	3913
19	76	3744
20	77	3593
21	77	3451
22	78	3319
23	78	3199
24	79	3088
25	79	2985
26	80	2890
27	80	2802
28	81	2720
29	81	2643
30	82	2573
31	83	2511
32	83	2451
33	84	2391
34	84	2334
35	85	2280
36	85	2230
37	86	2182
38	86	2136
39	87	2093
40	87	2051
41	88	2013
42	89	1980
43	89	1946
44	90	1912
45	90	1879
46	91	1847
47	91	1817
48	92	1788
49	92	1761
50	93	1734
51	93	1708
52	94	1683
53	94	1660
54	95	1640
55	96	1618
56	96	1597
57	97	1576
58	97	1556
59	98	1536
60	98	1517
61	99	1499
62	99	1481
63	100	1464
64	100	1448
65	101	1434
66	101	1419
67	102	1400
68	102	1385
69	103	1371
70	103	1357
71	104	1343
72	104	1330
73	105	1317
74	105	1304
75	106	1292
76	106	1280
77	107	1271
78	108	1260
79	108	1249
80	109	1238
81	109	1227
82	110	1217
83	110	1207
84	111	1195
85	111	1185
86	111	1174
87	112	1165
88	113	1157
89	113	1150
90	114	1141
91	114	1133
92	115	1125
93	115	1116
94	116	1108
95	116	1100
96	117	1093
97	117	1085
98	118	1077
99	119	1072
100	120	1069
101	120	1060
102	121	1054
103	121	1048
104	122	1041
105	122	1034
106	123	1028
107	123	1022
108	124	1016
109	124	1010
110	125	1005
111	126	1000
112	126	994
113	127	988
114	127	983
115	128	976
116	128	971
117	129	965
118	129	959
119	130	954
120	130	949
121	131	944
122	131	937
123	132	933
124	132	929
125	133	924
126	133	919
127	134	913
128	134	909
129	135	904
130	135	900
131	136	895
132	136	891
133	137	887
134	137	884
135	138	880
136	139	877
137	139	872
138	140	868
139	140	865
140	141	861
141	142	858
142	142	854
143	143	850
144	143	847
145	144	844
146	145	841
147	145	838
148	146	835
149	146	832
150	147	828
151	148	825
152	148	822
153	149	819
154	149	816
155	150	814
156	151	811
157	151	808
158	152	805
159	152	802
160	153	799
161	153	796
162	154	793
163	155	790
164	155	787
165	156	785
166	156	782
167	157	780
168	158	777
169	158	775
170	159	773
171	160	770
172	160	767
173	161	765
174	161	763
175	162	761
176	163	759
177	163	756
178	164	753
179	164	751
180	165	747
181	165	745
182	166	742
183	166	740
