iter	Passed	Remaining
0	103	103673
1	104	52149
2	105	34928
3	105	26370
4	106	21203
5	107	17750
6	107	15280
7	108	13425
8	108	11979
9	109	10822
10	109	9875
11	110	9085
12	110	8419
13	111	7854
14	112	7363
15	112	6936
16	113	6557
17	114	6225
18	114	5930
19	115	5656
20	115	5406
21	116	5180
22	117	4978
23	117	4791
24	118	4616
25	118	4453
26	119	4306
27	120	4167
28	120	4037
29	121	3918
30	121	3807
31	122	3703
32	123	3617
33	123	3522
34	124	3432
35	125	3348
36	125	3268
37	126	3191
38	126	3119
39	127	3051
40	127	2985
41	128	2925
42	128	2869
43	129	2813
44	130	2758
45	130	2707
46	131	2657
47	131	2612
48	132	2566
49	132	2523
50	133	2481
51	133	2440
52	134	2402
53	134	2364
54	135	2328
55	136	2293
56	136	2259
57	137	2226
58	137	2195
59	138	2164
60	138	2134
61	139	2105
62	139	2078
63	140	2052
64	140	2027
65	141	2002
66	141	1977
67	142	1953
68	143	1930
69	143	1907
70	144	1885
71	144	1864
72	145	1843
73	145	1824
74	146	1808
75	147	1790
76	147	1771
77	148	1752
78	148	1735
79	149	1718
80	150	1702
81	150	1686
82	150	1667
83	151	1651
84	152	1636
85	152	1622
86	153	1609
87	154	1596
88	154	1582
89	155	1569
90	155	1556
91	156	1543
92	157	1531
93	157	1519
94	158	1508
95	158	1497
96	159	1485
97	160	1474
98	160	1463
99	161	1452
100	161	1441
101	162	1431
102	163	1422
103	163	1411
104	164	1401
105	165	1393
106	165	1384
107	166	1375
108	167	1367
109	167	1358
110	168	1350
111	169	1341
112	169	1333
113	170	1325
114	171	1317
115	172	1310
116	172	1303
117	173	1296
118	174	1288
119	174	1280
120	175	1272
121	175	1264
122	176	1256
123	176	1248
124	177	1241
125	178	1234
126	178	1226
127	178	1219
128	179	1212
129	180	1204
130	180	1197
131	181	1191
132	181	1184
133	182	1177
134	182	1171
135	183	1164
136	183	1158
137	184	1152
138	185	1146
139	185	1139
140	186	1133
141	186	1126
142	186	1120
143	187	1114
144	188	1108
145	188	1102
146	189	1097
147	189	1092
148	190	1086
149	190	1081
150	191	1075
151	191	1070
152	192	1065
153	192	1059
154	193	1054
155	193	1049
156	194	1044
157	195	1039
158	195	1035
159	196	1031
160	196	1025
161	197	1020
162	197	1015
163	198	1010
164	198	1006
165	199	1001
166	199	997
167	200	992
168	200	988
169	201	983
170	202	980
171	202	975
172	203	971
173	203	967
174	204	963
175	204	959
176	205	955
177	205	951
178	206	947
179	207	943
180	207	940
181	208	937
182	209	934
183	209	930
184	210	927
185	210	923
186	211	919
187	212	915
188	212	912
189	213	908
190	213	904
191	214	901
192	215	899
193	215	896
194	216	892
195	216	889
196	217	886
197	218	883
198	218	880
199	219	877
200	219	874
201	220	871
202	221	868
203	221	865
204	222	862
205	223	859
206	223	857
207	224	853
208	224	850
209	225	847
210	225	844
211	226	841
212	227	838
213	227	836
214	228	833
215	228	830
216	229	827
217	229	824
218	230	822
219	231	819
220	231	816
221	232	813
222	232	811
223	233	808
224	234	806
225	234	803
226	235	800
227	235	797
228	236	795
229	236	792
230	237	789
231	237	787
232	238	784
233	238	781
234	239	779
235	240	777
236	240	774
237	241	771
238	241	769
239	242	766
240	242	764
241	243	761
242	243	759
243	244	756
244	244	754
245	245	752
246	246	750
247	246	747
248	247	745
249	247	743
250	248	740
251	248	738
252	249	736
253	249	733
254	250	731
255	250	729
256	251	727
257	252	725
258	252	723
259	253	720
260	253	718
261	254	716
262	254	714
263	255	711
264	255	709
265	256	707
266	256	705
267	257	703
268	258	701
269	258	699
270	259	697
271	259	695
272	260	693
273	260	691
274	261	689
275	261	687
276	262	685
277	263	683
278	263	681
279	264	679
280	264	677
281	265	676
282	266	674
283	266	671
284	267	669
285	267	668
286	268	666
287	268	664
288	269	662
289	269	660
290	270	658
291	270	656
292	271	654
293	271	652
294	272	651
295	273	649
296	273	647
297	274	645
298	274	644
299	275	642
300	275	640
301	276	639
302	277	637
303	277	636
304	278	634
305	278	632
306	279	630
307	279	628
308	280	627
309	280	625
310	281	623
311	281	621
312	282	620
313	283	618
314	283	617
315	284	615
316	284	613
317	285	611
318	285	610
319	286	608
320	286	606
321	287	604
322	287	603
323	288	601
324	289	600
325	289	598
326	290	597
327	290	595
328	291	594
329	291	592
330	292	590
331	292	589
332	293	587
333	293	586
334	294	584
335	295	583
336	295	582
337	296	580
338	296	578
339	297	577
340	298	575
341	298	574
342	299	573
343	299	571
344	300	570
345	301	569
346	301	568
347	302	567
348	303	565
349	303	564
350	304	562
351	305	561
352	306	560
353	306	559
354	307	558
355	308	557
356	308	556
357	309	554
358	309	553
359	310	552
360	311	550
361	311	549
362	312	548
363	313	547
364	314	547
365	315	545
366	315	544
367	316	543
368	317	542
369	317	540
370	318	539
371	318	538
372	319	537
373	320	535
374	320	534
375	321	533
376	322	532
377	322	531
378	323	530
379	324	528
380	324	527
381	325	526
382	326	525
383	327	524
384	327	523
385	328	522
386	328	520
387	329	519
388	329	518
389	330	516
390	330	515
391	331	514
392	332	513
393	333	512
394	333	511
395	334	510
396	335	509
397	335	507
398	336	506
399	336	505
400	337	503
401	338	503
402	339	502
403	339	501
404	340	500
405	341	499
406	341	498
407	342	496
408	343	495
409	343	494
410	344	493
411	345	492
412	345	491
413	346	490
414	346	489
415	347	487
416	347	486
417	348	485
418	349	484
419	349	483
420	350	482
421	351	481
422	351	480
423	352	478
424	353	477
425	353	476
426	354	475
427	354	473
428	355	472
429	356	472
430	357	471
431	357	470
432	358	469
433	358	468
434	359	466
435	359	465
436	360	464
437	361	463
438	361	462
439	362	461
440	363	460
441	364	459
442	364	458
443	365	457
444	365	456
445	366	455
446	367	454
447	368	453
448	369	453
449	369	452
450	370	451
451	371	449
452	371	448
453	372	447
454	372	446
455	373	445
456	374	444
457	375	443
458	375	443
459	376	442
460	377	440
461	377	439
462	378	438
463	378	437
464	379	436
465	379	435
466	380	434
467	381	433
468	381	432
469	382	431
470	382	430
471	383	428
472	384	427
473	384	426
474	385	425
475	385	424
476	386	423
477	386	422
478	387	421
479	388	420
480	388	419
481	389	418
482	389	417
483	390	416
484	390	414
485	391	413
486	391	412
487	392	411
488	393	411
489	393	410
490	394	409
491	395	407
492	395	406
493	396	405
494	396	404
495	397	403
496	397	402
497	398	401
498	398	400
499	399	399
500	399	398
501	400	397
502	401	396
503	401	395
504	402	394
505	402	393
506	403	392
507	403	391
508	404	389
509	404	389
510	405	388
511	406	386
512	406	385
513	407	384
514	407	383
515	408	382
516	408	381
517	409	380
518	409	379
519	410	378
520	410	377
521	411	376
522	411	375
523	412	374
524	413	373
525	413	372
526	414	371
527	414	370
528	415	369
529	415	368
530	416	367
531	416	366
532	417	365
533	417	364
534	418	363
535	418	362
536	419	361
537	420	360
538	420	359
539	421	358
540	421	357
541	422	356
542	422	355
543	423	355
544	424	354
545	424	353
546	425	352
547	426	351
548	426	350
549	427	349
550	428	348
551	428	347
552	429	346
553	429	346
554	430	345
555	431	344
556	431	343
557	432	342
558	432	341
559	433	340
560	433	339
561	434	338
562	435	337
563	435	336
564	436	336
565	437	335
566	437	334
567	438	333
568	439	332
569	439	331
570	440	330
571	440	329
572	441	328
573	442	328
574	442	327
575	443	326
576	444	325
577	444	324
578	445	323
579	445	322
580	446	321
581	446	320
582	447	319
583	448	319
584	448	318
585	449	317
586	449	316
587	450	315
588	450	314
589	451	313
590	451	312
591	452	311
592	453	310
593	453	310
594	454	309
595	454	308
596	455	307
597	455	306
598	456	305
599	456	304
600	457	303
601	457	302
602	458	301
603	458	300
604	459	299
605	459	299
606	460	298
607	461	297
608	461	296
609	462	295
610	463	294
611	463	293
612	464	293
613	464	292
614	465	291
615	465	290
616	466	289
617	467	288
618	467	287
619	468	286
620	468	286
621	469	285
622	469	284
623	470	283
624	470	282
625	471	281
626	471	280
627	472	279
628	473	279
629	473	278
630	474	277
631	474	276
632	475	275
633	476	274
634	476	273
635	477	273
636	477	272
637	478	271
638	479	270
639	479	269
640	480	269
641	480	268
642	481	267
643	482	266
644	482	265
645	483	264
646	483	263
647	484	263
648	485	262
649	485	261
650	486	260
651	487	259
652	487	259
653	488	258
654	489	257
655	489	256
656	490	255
657	490	255
658	491	254
659	492	253
660	493	252
661	493	252
662	494	251
663	494	250
664	495	249
665	495	248
666	496	247
667	497	247
668	497	246
669	498	245
670	499	244
671	499	243
672	500	243
673	500	242
674	501	241
675	502	240
676	502	239
677	503	238
678	503	238
679	504	237
680	505	236
681	505	235
682	506	235
683	506	234
684	507	233
685	508	232
686	508	231
687	509	230
688	509	230
689	510	229
690	511	228
691	511	227
692	512	227
693	513	226
694	513	225
695	514	224
696	514	223
697	515	222
698	515	222
699	516	221
700	517	220
701	517	219
702	518	218
703	518	218
704	519	217
705	519	216
706	520	215
707	520	214
708	521	214
709	522	213
710	522	212
711	523	211
712	523	210
713	524	210
714	525	209
715	525	208
716	526	207
717	526	206
718	527	206
719	527	205
720	528	204
721	528	203
722	529	202
723	530	202
724	530	201
725	531	200
726	531	199
727	532	198
728	533	198
729	533	197
730	534	196
731	535	195
732	535	195
733	536	194
734	536	193
735	537	192
736	538	192
737	538	191
738	539	190
739	540	189
740	540	189
741	541	188
742	542	187
743	543	186
744	543	186
745	544	185
746	545	184
747	545	183
748	546	183
749	546	182
750	547	181
751	548	180
752	549	180
753	549	179
754	550	178
755	550	177
756	551	177
757	551	176
758	552	175
759	553	174
760	553	173
761	554	173
762	555	172
763	555	171
764	556	170
765	556	170
766	557	169
767	557	168
768	558	167
769	558	166
770	559	166
771	560	165
772	560	164
773	561	163
774	562	163
775	562	162
776	563	161
777	563	160
778	564	160
779	564	159
780	565	158
781	565	157
782	566	157
